textbox6,textbox13
Session Time By Week,"Start: 01/20/2021 - End: 05/07/2021
Locations: Tinsley Learning Center"

WeekByDate,DayName,SessionTime
1/24/2021,Monday,9.5
1/24/2021,Wednesday,4
1/24/2021,Thursday,13.42
1/31/2021,Monday,41.48
1/31/2021,Tuesday,41.75
1/31/2021,Wednesday,42.77
1/31/2021,Thursday,28.6
1/31/2021,Friday,5.73
2/7/2021,Monday,43.55
2/7/2021,Tuesday,31.23
2/7/2021,Wednesday,28.38
2/7/2021,Thursday,23.33
2/7/2021,Friday,6.07
2/14/2021,Thursday,4.53
2/14/2021,Friday,2
2/21/2021,Monday,27.5
2/21/2021,Tuesday,47.8
2/21/2021,Wednesday,30.22
2/21/2021,Thursday,38.45
2/21/2021,Friday,5.17
2/28/2021,Sunday,18.07
2/28/2021,Monday,36.37
2/28/2021,Tuesday,23.02
2/28/2021,Wednesday,38.55
2/28/2021,Thursday,34.78
2/28/2021,Friday,8.55
3/7/2021,Monday,47.27
3/7/2021,Tuesday,50.78
3/7/2021,Wednesday,38.07
3/7/2021,Thursday,34.08
3/7/2021,Friday,7.68
3/14/2021,Sunday,15
3/14/2021,Monday,46.07
3/14/2021,Tuesday,29.98
3/14/2021,Wednesday,45.48
3/14/2021,Thursday,23.77
3/14/2021,Friday,6.53
3/21/2021,Sunday,4.58
3/21/2021,Monday,39.2
3/21/2021,Tuesday,41.33
3/21/2021,Wednesday,37.72
3/21/2021,Thursday,26.75
3/21/2021,Friday,3.35
3/28/2021,Monday,51.8
3/28/2021,Tuesday,44.2
3/28/2021,Wednesday,34.23
3/28/2021,Thursday,2.4
4/11/2021,Monday,36.77
4/11/2021,Tuesday,29.23
4/11/2021,Wednesday,32.28
4/11/2021,Thursday,30.6
4/11/2021,Friday,5.27
4/18/2021,Monday,42.65
4/18/2021,Tuesday,40.13
4/18/2021,Wednesday,33.27
4/18/2021,Thursday,20.63
4/18/2021,Friday,2.9
4/25/2021,Monday,27.43
4/25/2021,Tuesday,27.03
4/25/2021,Wednesday,31.92
4/25/2021,Thursday,16.03
4/25/2021,Friday,2.55
5/2/2021,Monday,41.52
5/2/2021,Tuesday,43.97
5/2/2021,Wednesday,40.15
5/2/2021,Thursday,14.55
5/2/2021,Friday,8.62

