textbox6,textbox13
Visits by Day And Hour,"Start: 01/20/2021 - End: 05/07/2021
Locations: Tinsley Learning Center"

chart1_SeriesGroup1_label,chart1_SeriesGroup1_chart1_CategoryGroup1_label,chart1_SeriesGroup1_chart1_CategoryGroup1_Value_DataValue0
11:00 PM - 12:00 AM,Sunday,
11:00 PM - 12:00 AM,Monday,
11:00 PM - 12:00 AM,Tuesday,
11:00 PM - 12:00 AM,Wednesday,2
11:00 PM - 12:00 AM,Thursday,
11:00 PM - 12:00 AM,Friday,
6:00 PM - 7:00 PM,Sunday,
6:00 PM - 7:00 PM,Monday,4
6:00 PM - 7:00 PM,Tuesday,2
6:00 PM - 7:00 PM,Wednesday,3
6:00 PM - 7:00 PM,Thursday,
6:00 PM - 7:00 PM,Friday,
5:00 PM - 6:00 PM,Sunday,
5:00 PM - 6:00 PM,Monday,49
5:00 PM - 6:00 PM,Tuesday,80
5:00 PM - 6:00 PM,Wednesday,8
5:00 PM - 6:00 PM,Thursday,33
5:00 PM - 6:00 PM,Friday,2
4:00 PM - 5:00 PM,Sunday,
4:00 PM - 5:00 PM,Monday,48
4:00 PM - 5:00 PM,Tuesday,33
4:00 PM - 5:00 PM,Wednesday,28
4:00 PM - 5:00 PM,Thursday,11
4:00 PM - 5:00 PM,Friday,
3:00 PM - 4:00 PM,Sunday,9
3:00 PM - 4:00 PM,Monday,169
3:00 PM - 4:00 PM,Tuesday,78
3:00 PM - 4:00 PM,Wednesday,110
3:00 PM - 4:00 PM,Thursday,39
3:00 PM - 4:00 PM,Friday,
2:00 PM - 3:00 PM,Sunday,6
2:00 PM - 3:00 PM,Monday,39
2:00 PM - 3:00 PM,Tuesday,54
2:00 PM - 3:00 PM,Wednesday,80
2:00 PM - 3:00 PM,Thursday,64
2:00 PM - 3:00 PM,Friday,
1:00 PM - 2:00 PM,Sunday,10
1:00 PM - 2:00 PM,Monday,59
1:00 PM - 2:00 PM,Tuesday,66
1:00 PM - 2:00 PM,Wednesday,50
1:00 PM - 2:00 PM,Thursday,59
1:00 PM - 2:00 PM,Friday,2
12:00 PM - 1:00 PM,Sunday,
12:00 PM - 1:00 PM,Monday,29
12:00 PM - 1:00 PM,Tuesday,29
12:00 PM - 1:00 PM,Wednesday,79
12:00 PM - 1:00 PM,Thursday,25
12:00 PM - 1:00 PM,Friday,
11:00 AM - 12:00 PM,Sunday,
11:00 AM - 12:00 PM,Monday,33
11:00 AM - 12:00 PM,Tuesday,38
11:00 AM - 12:00 PM,Wednesday,34
11:00 AM - 12:00 PM,Thursday,10
11:00 AM - 12:00 PM,Friday,5
10:00 AM - 11:00 AM,Sunday,
10:00 AM - 11:00 AM,Monday,16
10:00 AM - 11:00 AM,Tuesday,18
10:00 AM - 11:00 AM,Wednesday,29
10:00 AM - 11:00 AM,Thursday,7
10:00 AM - 11:00 AM,Friday,5
9:00 AM - 10:00 AM,Sunday,
9:00 AM - 10:00 AM,Monday,21
9:00 AM - 10:00 AM,Tuesday,35
9:00 AM - 10:00 AM,Wednesday,26
9:00 AM - 10:00 AM,Thursday,13
9:00 AM - 10:00 AM,Friday,13
8:00 AM - 9:00 AM,Sunday,
8:00 AM - 9:00 AM,Monday,23
8:00 AM - 9:00 AM,Tuesday,21
8:00 AM - 9:00 AM,Wednesday,10
8:00 AM - 9:00 AM,Thursday,8
8:00 AM - 9:00 AM,Friday,20
7:00 AM - 8:00 AM,Sunday,
7:00 AM - 8:00 AM,Monday,
7:00 AM - 8:00 AM,Tuesday,
7:00 AM - 8:00 AM,Wednesday,
7:00 AM - 8:00 AM,Thursday,
7:00 AM - 8:00 AM,Friday,2
5:00 AM - 6:00 AM,Sunday,
5:00 AM - 6:00 AM,Monday,
5:00 AM - 6:00 AM,Tuesday,1
5:00 AM - 6:00 AM,Wednesday,
5:00 AM - 6:00 AM,Thursday,
5:00 AM - 6:00 AM,Friday,

