textbox6,textbox13
Visits By Hour And Day,"Start: 01/20/2021 - End: 05/07/2021
Locations: Tinsley Learning Center"

Group2,DayName,SignInCount
5:00 AM,Tuesday,1
7:00 AM,Friday,2
8:00 AM,Monday,23
8:00 AM,Tuesday,21
8:00 AM,Wednesday,10
8:00 AM,Thursday,8
8:00 AM,Friday,20
9:00 AM,Monday,21
9:00 AM,Tuesday,35
9:00 AM,Wednesday,26
9:00 AM,Thursday,13
9:00 AM,Friday,13
10:00 AM,Monday,16
10:00 AM,Tuesday,18
10:00 AM,Wednesday,29
10:00 AM,Thursday,7
10:00 AM,Friday,5
11:00 AM,Monday,33
11:00 AM,Tuesday,38
11:00 AM,Wednesday,34
11:00 AM,Thursday,10
11:00 AM,Friday,5
12:00 PM,Monday,29
12:00 PM,Tuesday,29
12:00 PM,Wednesday,79
12:00 PM,Thursday,25
1:00 PM,Sunday,10
1:00 PM,Monday,59
1:00 PM,Tuesday,66
1:00 PM,Wednesday,50
1:00 PM,Thursday,59
1:00 PM,Friday,2
2:00 PM,Sunday,6
2:00 PM,Monday,39
2:00 PM,Tuesday,54
2:00 PM,Wednesday,80
2:00 PM,Thursday,64
3:00 PM,Sunday,9
3:00 PM,Monday,169
3:00 PM,Tuesday,78
3:00 PM,Wednesday,110
3:00 PM,Thursday,39
4:00 PM,Monday,48
4:00 PM,Tuesday,33
4:00 PM,Wednesday,28
4:00 PM,Thursday,11
5:00 PM,Monday,49
5:00 PM,Tuesday,80
5:00 PM,Wednesday,8
5:00 PM,Thursday,33
5:00 PM,Friday,2
6:00 PM,Monday,4
6:00 PM,Tuesday,2
6:00 PM,Wednesday,3
11:00 PM,Wednesday,2

