textbox6,textbox13
Visits By Service,"Start: 01/20/2021 - End: 05/07/2021
Locations: Tinsley Learning Center"

Sign In Count_label,Sign In Count_chart1_CategoryGroup1_label,Sign In Count_chart1_CategoryGroup1_Value_DataValue0
Sign In Count,Athletes,1
Sign In Count,Capstone,13
Sign In Count,In-Person Drop-in Tutoring,31
Sign In Count,In-Person Tutoring,989
Sign In Count,Math Game Review Sessions,6
Sign In Count,Online Tutoring,111
Sign In Count,PASS - Peer Assisted Study Sessions,44
Sign In Count,Speech Critique,11
Sign In Count,Supplemental Instruction,519
Sign In Count,UCre8,11
Sign In Count,Unspecified,12

