textbox6,textbox13
Visits By Course,"Start: 01/20/2021 - End: 05/07/2021
Locations: Tinsley Learning Center"

Subject,SignInCount
ACCT- 200 INTRO TO FIN ACCT,1
CHEM- 101 GEN CHEMISTRY I,59
CHEM- 102 GEN CHEMISTRY II,47
CHEM- 107 SURVEY OF CHEMISTRY,61
CHEM- 121 GEN CHEM I FOR SCI MAJORS,85
CHEM- 122 GEN CHEM II FOR SCI MAJORS,65
CHEM- 122H GEN CHEM II FOR SCI MAJ HONORS,1
CHEM- 261 SVY ORG CHEM,3
CHEM- 265 GEN ORGANIC CHEM I,32
CHEM- 266 GEN ORGANIC CHEM II,2
CLAB- 124 GEN CHEM LAB II/SCI MAJORS,1
CMPS- 161 ALGORITHM DSGN/IMPLMNT I,89
CMPS- 280 ALGORITHM DSGN/IMPLEM II,33
CMPS- 390 DATA STRUCTURES,97
COMM- 211 INTRO PUBLIC SPEAKING,3
ECON- 202 PRIN ECONOMICS-MICRO,6
ESSC- 101 EARTH AND SPACE SCIENCE I,1
ET- 493 SENIOR DESIGN I,5
ET- 494 SENIOR DESIGN II,23
FCS- 345 NUTRITION THROUGH THE LIFE CYC,10
FIN- 282 PERSONAL FIN WITH SPREADSHEET,8
FIN- 381 BUS FINANCE,1
FREN- 101 ELEM FREN I,6
FREN- 102 ELEM FREN II,7
FREN- 201 INTERM FREN I,6
GBIO- 106 INTRO TO BIOLOGY PRIN I,4
GBIO- 151 GENERAL BIOL I,11
IT- 111 ENG DRAFTING WITH CAD,2
LAT- 102 ELEM LAT II,4
MATH- 105 FINITE MATHEMATICS,184
MATH- 151 COLLEGE ALGEBRA WITH FUNDAMENT,216
MATH- 161 COLLEGE ALGEBRA,5
MATH- 162 TRIGONOMETRY,8
MATH- 163 APPLIED CALCULUS,3
MATH- 175 PRE-CALCULUS WITH TRIGONOMETRY,2
MATH- 200 CALCULUS I,13
MATH- 200H CALCULUS I HONORS,26
MATH- 201 CALCULUS II,14
MATH- 223 FOUNDA OF DISCRETE MATH,16
MATH- 241 ELEMENTARY STATISTICS,179
MATH- 247 NUMBER STRUCTURE FOR PK-8 TEAC,1
MATH- 312 CALCULUS III,7
MGMT- 321 FAMILY BUSINESS MANAGEMENT,12
OMIS- 210 BUSINESS STATISTICAL MODELS II,7
OSHE- 121 SAFTY & HLTH PROG MGMT/ADM,3
OSHE- 121H SAFTY & HLTH PROG MGMT/ADM,1
OSHE- 492 CAPSTONE,1
PHYS- 191 GEN PHYSICS,219
PHYS- 192 GEN PHYSICS,26
PHYS- 221 GEN PHYSICS,4
PHYS- 222 GEN PHYSICS,2
PLAB- 193 GEN PHYSICS LAB,1
PSYC- 101 GEN PSYCHOLOGY I,3
PSYC- 204 DEVLOPMNTL PSYC,6
PSYC- 220 PRIN OF RESEARCH DESIGN,7
PSYC- 221 PSYC STATISTICS,11
PSYC- 467H SENIOR HONORS THESIS IN PSYC,1
SOC- 101 INTRO SOCIOLOGY,13
SOC- 411 RACE AND ETHNIC RELATIONS,1
SPAN- 101 ELEM SPAN I,25
SPAN- 102 ELEM SPAN II,6
Unspecified,12
ZOO- 250 ANAT/PHYS LEC I,31
ZOO- 251 HUMAN ANAT/PHYS LEC II,7
ZOOL- 253 ANAT/PHYS LAB II,1

