textbox6,textbox13
Visits By Week,"Start: 01/20/2021 - End: 05/07/2021
Locations: Tinsley Learning Center"

chart1_SeriesGroup1_label,chart1_SeriesGroup1_chart1_CategoryGroup1_label,chart1_SeriesGroup1_chart1_CategoryGroup1_Value_DataValue0
Sunday,w5 - 2021,
Sunday,w6 - 2021,
Sunday,w7 - 2021,
Sunday,w8 - 2021,
Sunday,w9 - 2021,
Sunday,w10 - 2021,12
Sunday,w11 - 2021,
Sunday,w12 - 2021,10
Sunday,w13 - 2021,3
Sunday,w14 - 2021,
Sunday,w16 - 2021,
Sunday,w17 - 2021,
Sunday,w18 - 2021,
Sunday,w19 - 2021,
Monday,w5 - 2021,6
Monday,w6 - 2021,42
Monday,w7 - 2021,43
Monday,w8 - 2021,
Monday,w9 - 2021,33
Monday,w10 - 2021,36
Monday,w11 - 2021,45
Monday,w12 - 2021,44
Monday,w13 - 2021,43
Monday,w14 - 2021,50
Monday,w16 - 2021,37
Monday,w17 - 2021,46
Monday,w18 - 2021,34
Monday,w19 - 2021,31
Tuesday,w5 - 2021,
Tuesday,w6 - 2021,40
Tuesday,w7 - 2021,35
Tuesday,w8 - 2021,
Tuesday,w9 - 2021,45
Tuesday,w10 - 2021,24
Tuesday,w11 - 2021,50
Tuesday,w12 - 2021,32
Tuesday,w13 - 2021,40
Tuesday,w14 - 2021,42
Tuesday,w16 - 2021,32
Tuesday,w17 - 2021,41
Tuesday,w18 - 2021,28
Tuesday,w19 - 2021,46
Wednesday,w5 - 2021,3
Wednesday,w6 - 2021,44
Wednesday,w7 - 2021,30
Wednesday,w8 - 2021,
Wednesday,w9 - 2021,35
Wednesday,w10 - 2021,42
Wednesday,w11 - 2021,42
Wednesday,w12 - 2021,45
Wednesday,w13 - 2021,39
Wednesday,w14 - 2021,36
Wednesday,w16 - 2021,35
Wednesday,w17 - 2021,36
Wednesday,w18 - 2021,34
Wednesday,w19 - 2021,38
Thursday,w5 - 2021,11
Thursday,w6 - 2021,25
Thursday,w7 - 2021,22
Thursday,w8 - 2021,5
Thursday,w9 - 2021,27
Thursday,w10 - 2021,33
Thursday,w11 - 2021,30
Thursday,w12 - 2021,20
Thursday,w13 - 2021,23
Thursday,w14 - 2021,3
Thursday,w16 - 2021,22
Thursday,w17 - 2021,18
Thursday,w18 - 2021,16
Thursday,w19 - 2021,14
Friday,w5 - 2021,
Friday,w6 - 2021,4
Friday,w7 - 2021,4
Friday,w8 - 2021,1
Friday,w9 - 2021,5
Friday,w10 - 2021,4
Friday,w11 - 2021,5
Friday,w12 - 2021,6
Friday,w13 - 2021,2
Friday,w14 - 2021,
Friday,w16 - 2021,6
Friday,w17 - 2021,1
Friday,w18 - 2021,3
Friday,w19 - 2021,8

